ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Large,Classify_Red,Classify_Small,Classify_Tiny,Classify_White,Intensity_IntegratedIntensityEdge_SubtractedRed,Intensity_IntegratedIntensity_SubtractedRed,Intensity_LowerQuartileIntensity_SubtractedRed,Intensity_MADIntensity_SubtractedRed,Intensity_MassDisplacement_SubtractedRed,Intensity_MaxIntensityEdge_SubtractedRed,Intensity_MaxIntensity_SubtractedRed,Intensity_MeanIntensityEdge_SubtractedRed,Intensity_MeanIntensity_SubtractedRed,Intensity_MedianIntensity_SubtractedRed,Intensity_MinIntensityEdge_SubtractedRed,Intensity_MinIntensity_SubtractedRed,Intensity_StdIntensityEdge_SubtractedRed,Intensity_StdIntensity_SubtractedRed,Intensity_UpperQuartileIntensity_SubtractedRed,Location_CenterMassIntensity_X_SubtractedRed,Location_CenterMassIntensity_Y_SubtractedRed,Location_CenterMassIntensity_Z_SubtractedRed,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_SubtractedRed,Location_MaxIntensity_Y_SubtractedRed,Location_MaxIntensity_Z_SubtractedRed,Number_Object_Number
1,325,15,20,613,318,608,314,610.1333333333333,315.46666666666664,0.7208777308044718,16,0.47609522856952347,4.370193722368317,1,0.75,1.3871977968913514,4.618802153517007,4.123105625617661,2.0,1.2161760458079522,1.0,3.0,4.061745656460751,75.96375653207352,11.65685424949238,0.9375,0,0,1,0,1,0.014598965644836426,0.017436295747756958,0.0,0.0,1.6930477469349692,0.010774850845336914,0.010774850845336914,0.0014598965644836426,0.0011624197165171306,0.0,0.0,0.0,0.003233092138476728,0.002752259383384666,0.0013162493705749512,608.8735012349056,314.33563450214933,0.0,610.1333333333333,315.46666666666664,0,609.0,314.0,0.0,325
1,326,16,16,843,319,839,315,840.5,316.5,0.716197243913529,16,0.0,4.51351666838205,1,1.0,1.3962634015954636,4.47213595499958,4.242640687119285,2.0,1.25,1.0,3.0,4.47213595499958,45.0,12.0,1.0,0,0,1,0,1,0.007369965314865112,0.00977867841720581,0.0,0.0007475316524505615,1.0538588970411154,0.0016770660877227783,0.0016770660877227783,0.0006141637762387594,0.0006111674010753632,0.0007475316524505615,0.0,0.0,0.0006676477768912883,0.0006540299266530104,0.0013529062271118164,839.4898298782755,316.1997086414034,0.0,840.5,316.5,0,839.0,315.0,0.0,326
1,327,10,12,558,319,554,316,555.8,317.0,0.6202357696493015,10,0.6123724356957945,3.5682482323055424,1,0.8333333333333334,1.612290114395414,3.919183588453085,3.1622776601683795,2.0,1.1414213562373097,1.0,2.0,3.0983866769659336,90.0,8.82842712474619,1.0,0,0,1,0,1,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,555.8,317.0,0,555.0,316.0,0.0,327
1,328,8,9,700,319,697,316,697.875,317.125,0.5468022991227088,8,0.6123724356957945,3.1915382432114616,1,0.8888888888888888,1.8288145488861385,3.4641016151377544,2.8284271247461903,1.4142135623730951,1.051776695296637,1.0,2.0,2.7386127875258306,-45.0,7.414213562373095,1.0,0,0,1,0,1,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,697.875,317.125,0,698.0,316.0,0.0,328
1,329,16,20,538,321,533,317,535.25,318.625,0.7454531602318965,17,0.5083541641390434,4.51351666838205,1,0.8,1.341465907380309,4.837183752516743,4.242640687119285,2.0,1.239276695296637,1.0,3.0,4.165531580049303,75.12755935152889,12.242640687119284,0.9411764705882353,0,0,1,0,1,0.005934596061706543,0.009580463171005249,0.0,0.0002722740173339844,0.6613697374406128,0.0012434422969818115,0.0012434422969818115,0.000539508732882413,0.0005987789481878281,0.0007600188255310059,0.0,0.0,0.00046517486811525395,0.00044829597485852304,0.0010052025318145752,535.8512600049149,318.34950710337296,0.0,535.25,318.625,0,535.0,317.0,0.0,329
1,330,8,9,544,320,541,317,542.125,318.125,0.5468022991227088,8,0.6123724356957945,3.1915382432114616,1,0.8888888888888888,1.8288145488861385,3.4641016151377544,2.8284271247461903,1.4142135623730951,1.051776695296637,1.0,2.0,2.7386127875258306,45.0,7.414213562373095,1.0,0,0,1,0,1,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,542.125,318.125,0,542.0,319.0,0.0,330
1,331,12,16,711,320,707,316,708.3333333333334,317.75,0.6957172405156791,13,0.4907192147942729,3.9088200952233594,1,0.75,1.4373655585403928,4.167620293867669,3.605551275463989,2.0,1.1523689270621824,1.0,2.8284271247461903,3.631321610887408,-70.19465587998671,10.242640687119284,0.9230769230769231,0,0,1,0,1,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,708.3333333333334,317.75,0,709.0,319.0,0.0,331
1,332,28,42,749,321,743,314,745.3214285714286,317.25,1.03367050793823,31,0.8304019501123415,5.970821321441846,1,0.6666666666666666,0.9674262662234704,8.283556940138324,7.211102550927978,2.23606797749979,1.2966834210487594,1.0,4.314554973040049,4.6153062483896985,25.03709637275759,19.071067811865476,0.9032258064516129,0,0,1,0,1,0.04263141751289368,0.0835188627243042,0.0,0.0039581358432769775,1.763516974229446,0.00870552659034729,0.00870552659034729,0.0025077304419349224,0.0029828165258680072,0.00439944863319397,0.0,0.0,0.002947930448445939,0.0030546667385362067,0.0046389102935791016,745.9109918256597,318.9120491231175,0.0,745.3214285714286,317.25,0,747.0,320.0,0.0,332
1,333,17,25,854,321,849,316,850.8235294117648,317.94117647058823,0.7997667602429288,19,0.5761907849498633,4.652426491681278,1,0.68,1.250364543402942,5.1722561374428,4.47213595499958,2.23606797749979,1.2289954251171864,1.0,3.5355339059327378,4.227363696079095,62.93491175886067,13.071067811865474,0.8947368421052632,0,0,1,0,1,0.0723479688167572,0.11434367299079895,0.0063659921288490295,0.0004662424325942993,0.21249665479254215,0.010317832231521606,0.010317832231521606,0.006577088074250655,0.006726098411223467,0.006956815719604492,0.0036940574645996094,0.0036940574645996094,0.002130217471492522,0.001736391495853828,0.0073291584849357605,850.9906412662635,318.0724336851861,0.0,850.8235294117648,317.94117647058823,0,853.0,318.0,0.0,333
1,334,19,20,895,321,890,317,892.1052631578947,318.57894736842104,0.7536452523252464,19,0.6322808964466017,4.918490759365935,1,0.95,1.3268842295691072,5.544698233777089,5.0,2.0,1.2849586085459523,1.0,3.0,4.2956952169149805,-77.17949708784735,13.414213562373096,1.0,0,0,1,0,1,0.02406945824623108,0.029203474521636963,0.0,0.0,1.4766111935752972,0.006485968828201294,0.006485968828201294,0.0018514967881716215,0.001537024974822998,0.0,0.0,0.0,0.002620757646364924,0.002318693368169129,0.002614922821521759,891.1966351874568,319.7428957471431,0.0,892.1052631578947,318.57894736842104,0,892.0,320.0,0.0,334
